par,mus,timbre,fam,att,tech,reg,regn,val,ten,energy,pref,familiar
1,0,114,4,2,0,4,4,0.508607,0.622848,0.513302,0.500782,0.048513
1,0,115,4,2,0,5,5,0.043818,0.99374,0.752739,0.120501,0.037559
1,0,116,4,3,0,3,3,0.496088,0.507042,0.624413,0.752739,0.073552
1,0,117,4,3,0,4,4,0.025039,0.976526,0.893584,0.023474,0.028169
1,0,118,4,3,0,5,5,0.375587,0.629108,0.629108,0.496088,0.258216
1,0,119,4,5,0,3,3,0.034429,0.964006,0.247261,0.026604,0.031299
1,0,120,4,5,0,4,4,0.375587,0.743349,0.608764,0.236307,0.251956
1,0,121,4,2,0,3,3,0.364632,0.752739,0.561815,0.442879,0.051643
1,0,122,4,2,0,4,4,0.751174,0.118936,0.971831,0.979656,0.877934
1,0,123,4,2,0,5,5,0.934272,0.489828,0.881064,0.902973,0.064163
1,0,124,4,2,0,6,6,0.503912,0.447574,0.971831,0.500782,0.034429
1,0,125,4,2,0,7,6,0.674491,0.488263,0.907668,0.649452,0.112676
1,0,127,4,3,0,6,6,0.976526,0.375587,0.989045,0.892019,0.112676
1,0,128,4,3,0,7,6,0.507042,0.629108,0.649452,0.485133,0.093897
1,0,129,4,2,0,6,6,0.497653,0.607199,0.935837,0.636933,0.328638
1,0,130,4,2,0,7,6,0.494523,0.508607,0.926448,0.740219,0.042254
1,0,131,4,2,0,5,5,0.979656,0.397496,0.967136,0.85759,0.286385
1,0,132,4,2,0,6,6,0.630673,0.241002,0.984351,0.735524,0.018779
1,0,133,4,3,0,4,4,0.957747,0.256651,0.976526,0.962441,0.611894
1,0,134,4,3,0,5,5,0.492958,0.499218,0.621283,0.85759,0.020344
1,0,135,4,3,0,6,6,0.500782,0.514867,0.738654,0.906103,0.122066
1,0,136,4,3,0,6,6,0.510172,0.633803,0.85759,0.600939,0.034429
1,0,137,4,3,0,7,6,0.492958,0.507042,0.746479,0.517997,0.150235
2,0,0,1,3,0,1,1,0.42723,0.591549,0.230047,0.638498,0.500782
2,0,1,1,3,0,2,2,0.5759,0.352113,0.596244,0.643192,0.519562
2,0,2,1,2,0,1,1,0.355243,0.779343,0.253521,0.488263,0.513302
2,0,3,1,2,0,2,2,0.375587,0.605634,0.350548,0.516432,0.253521
2,0,4,1,1,0,1,1,0.43975,0.605634,0.394366,0.370892,0.517997
2,0,5,1,1,0,2,2,0.389671,0.605634,0.374022,0.502347,0.488263
2,0,6,1,2,1,1,1,0.380282,0.641628,0.339593,0.353678,0.627543
2,0,7,1,2,1,2,2,0.381847,0.630673,0.378717,0.388106,0.636933
2,0,8,1,3,0,3,3,0.364632,0.622848,0.378717,0.482003,0.485133
2,0,9,1,3,0,4,4,0.641628,0.629108,0.353678,0.513302,0.519562
2,0,10,1,2,0,3,3,0.289515,0.704225,0.28169,0.359937,0.467919
2,0,11,1,2,0,4,4,0.624413,0.629108,0.370892,0.514867,0.492958
2,0,12,1,1,0,3,3,0.516432,0.488263,0.500782,0.488263,0.502347
2,0,13,1,1,0,4,4,0.635368,0.358372,0.629108,0.644757,0.502347
2,0,14,1,2,1,3,3,0.350548,0.652582,0.245696,0.384977,0.489828
2,0,15,1,2,1,4,4,0.391236,0.381847,0.370892,0.510172,0.500782
2,0,16,1,3,0,1,1,0.339593,0.7277,0.29108,0.242567,0.461659
2,0,17,1,3,0,2,2,0.374022,0.616588,0.386541,0.514867,0.521127
2,0,18,1,2,0,1,1,0.413146,0.367762,0.616588,0.510172,0.516432
2,0,19,1,2,0,2,2,0.403756,0.661972,0.258216,0.239437,0.483568
2,0,20,1,2,1,2,2,0.502347,0.491393,0.492958,0.491393,0.514867
2,0,21,1,3,0,3,3,0.283255,0.641628,0.72144,0.325509,0.331768
2,0,22,1,2,0,3,3,0.380282,0.363067,0.652582,0.500782,0.505477
2,0,23,1,2,1,3,3,0.377152,0.682316,0.28482,0.419405,0.646322
2,0,24,1,3,0,4,4,0.403756,0.500782,0.749609,0.489828,0.500782
2,0,25,1,2,0,4,4,0.532081,0.456964,0.577465,0.497653,0.513302
2,0,26,1,1,0,3,3,0.331768,0.70579,0.348983,0.305164,0.525822
2,0,27,1,1,0,4,4,0.375587,0.358372,0.624413,0.522692,0.510172
2,0,28,1,2,1,4,4,0.649452,0.327074,0.613459,0.482003,0.386541
2,0,29,1,3,0,3,3,0.43662,0.610329,0.370892,0.383412,0.525822
2,0,30,1,3,0,4,4,0.599374,0.610329,0.355243,0.486698,0.507042
2,0,31,1,3,0,5,5,0.375587,0.697966,0.311424,0.276995,0.492958
2,0,32,1,2,0,3,3,0.380282,0.771518,0.259781,0.543036,0.492958
